"Month","deaths"
"2000 January","3926"
"2000 February","2764"
"2000 March","2560"
"2000 April","2661"
"2000 May","2483"
"2000 June","2456"
"2000 July","2396"
"2000 August","2226"
"2000 September","2150"
"2000 October","2512"
"2000 November","2517"
"2000 December","2740"
"2001 January","2909"
"2001 February","2529"
"2001 March","2872"
"2001 April","2525"
"2001 May","2493"
"2001 June","2262"
"2001 July","2426"
"2001 August","2306"
"2001 September","2293"
"2001 October","2388"
"2001 November","2425"
"2001 December","2784"
"2002 January","2814"
"2002 February","2372"
"2002 March","2768"
"2002 April","2577"
"2002 May","2386"
"2002 June","2352"
"2002 July","2408"
"2002 August","2190"
"2002 September","2266"
"2002 October","2472"
"2002 November","2362"
"2002 December","2716"
"2003 January","2666"
"2003 February","2433"
"2003 March","2599"
"2003 April","2537"
"2003 May","2370"
"2003 June","2267"
"2003 July","2171"
"2003 August","2173"
"2003 September","2156"
"2003 October","2571"
"2003 November","2492"
"2003 December","2639"
"2004 January","2893"
"2004 February","2466"
"2004 March","2542"
"2004 April","2383"
"2004 May","2284"
"2004 June","2245"
"2004 July","2198"
"2004 August","2187"
"2004 September","2118"
"2004 October","2409"
"2004 November","2343"
"2004 December","2597"
"2005 January","2801"
"2005 February","2398"
"2005 March","2660"
"2005 April","2485"
"2005 May","2385"
"2005 June","2217"
"2005 July","2112"
"2005 August","2076"
"2005 September","2154"
"2005 October","2254"
"2005 November","2233"
"2005 December","2485"
"2006 January","2667"
"2006 February","2432"
"2006 March","2739"
"2006 April","2505"
"2006 May","2337"
"2006 June","2155"
"2006 July","2308"
"2006 August","2132"
"2006 September","2191"
"2006 October","2168"
"2006 November","2283"
"2006 December","2571"
"2007 January","2652"
"2007 February","2545"
"2007 March","2578"
"2007 April","2399"
"2007 May","2177"
"2007 June","2207"
"2007 July","2228"
"2007 August","2205"
"2007 September","2079"
"2007 October","2266"
"2007 November","2197"
"2007 December","2584"
"2008 January","2690"
"2008 February","2320"
"2008 March","2664"
"2008 April","2469"
"2008 May","2352"
"2008 June","1971"
"2008 July","2321"
"2008 August","2197"
"2008 September","2116"
"2008 October","2202"
"2008 November","2280"
"2008 December","2692"
"2009 January","3274"
"2009 February","2350"
"2009 March","2383"
"2009 April","2252"
"2009 May","2284"
"2009 June","2158"
"2009 July","2133"
"2009 August","2139"
"2009 September","2104"
"2009 October","2347"
"2009 November","2342"
"2009 December","2614"
"2010 January","2931"
"2010 February","2293"
"2010 March","2385"
"2010 April","2240"
"2010 May","2306"
"2010 June","2220"
"2010 July","2044"
"2010 August","2070"
"2010 September","2138"
"2010 October","2341"
"2010 November","2280"
"2010 December","2713"
"2011 January","2830"
"2011 February","2300"
"2011 March","2580"
"2011 April","2351"
"2011 May","2362"
"2011 June","2194"
"2011 July","2269"
"2011 August","2151"
"2011 September","2265"
"2011 October","2314"
"2011 November","2196"
"2011 December","2644"
"2012 January","2694"
"2012 February","2515"
"2012 March","2631"
"2012 April","2374"
"2012 May","2424"
"2012 June","2224"
"2012 July","2220"
"2012 August","2269"
"2012 September","2173"
"2012 October","2475"
"2012 November","2406"
"2012 December","2781"
"2013 January","2871"
"2013 February","2506"
"2013 March","2831"
"2013 April","2631"
"2013 May","2445"
"2013 June","2185"
"2013 July","2360"
"2013 August","2148"
"2013 September","2264"
"2013 October","2351"
"2013 November","2332"
"2013 December","2580"
"2014 January","2828"
"2014 February","2696"
"2014 March","2656"
"2014 April","2446"
"2014 May","2310"
"2014 June","2206"
"2014 July","2323"
"2014 August","2280"
"2014 September","2147"
"2014 October","2385"
"2014 November","2376"
"2014 December","2599"
"2015 January","2967"
"2015 February","2756"
"2015 March","2875"
"2015 April","2478"
"2015 May","2539"
"2015 June","2241"
"2015 July","2160"
"2015 August","2286"
"2015 September","2333"
"2015 October","2527"
"2015 November","2314"
"2015 December","2651"
"2016 January","3110"
"2016 February","2688"
"2016 March","2846"
"2016 April","2533"
"2016 May","2489"
"2016 June","2266"
"2016 July","2301"
"2016 August","2182"
"2016 September","2333"
"2016 October","2397"
"2016 November","2512"
"2016 December","3010"
"2017 January","3425"
"2017 February","2532"
"2017 March","2604"
"2017 April","2414"
"2017 May","2376"
"2017 June","2230"
"2017 July","2217"
"2017 August","2305"
"2017 September","2319"
"2017 October","2556"
"2017 November","2481"
"2017 December","2959"
"2018 January","3488"
"2018 February","2850"
"2018 March","2994"
"2018 April","2596"
"2018 May","2385"
"2018 June","2291"
"2018 July","2334"
"2018 August","2244"
"2018 September","2295"
"2018 October","2483"
"2018 November","2527"
"2018 December","2653"
"2019 January","3044"
"2019 February","2601"
"2019 March","2674"
"2019 April","2501"
"2019 May","2647"
"2019 June","2388"
"2019 July","2319"
"2019 August","2305"
"2019 September","2403"
"2019 October","2578"
"2019 November","2672"
"2019 December","3052"
"2020 January","3066"
"2020 February","2798"
"2020 March","2998"
"2020 April","3680"
"2020 May","2734"
"2020 June","2262"
"2020 July","2290"
"2020 August","2397"
"2020 September","2433"
"2020 October","2789"
"2020 November","2573"
"2020 December","2836"
"2021 January","3965"
"2021 February","3178"
"2021 March","2680"
"2021 April","2540"
"2021 May","2635"
"2021 June","2359"
"2021 July","2586"
"2021 August","2576"
"2021 September","2663"
"2021 October","2970"
"2021 November","3046"
"2021 December","3144"
"2022 January","3138"
"2022 February","2775"
"2022 March","2984"
"2022 April","3035"
"2022 May","2811"
"2022 June","2646"
"2022 July","2742"
"2022 August","2699"
"2022 September","2673"
"2022 October","2984"
"2022 November","3029"
"2022 December","3742"
"2023 January","3783"
"2023 February","2697"
"2023 March","3062"
"2023 April","2838"
"2023 May","2847"
"2023 June","2635"
"2023 July",
"2023 August",
