"year","month_name","deaths"
"2005","January","2801"
"2005","February","2398"
"2005","March","2660"
"2005","April","2485"
"2005","May","2385"
"2005","June","2217"
"2005","July","2112"
"2005","August","2076"
"2005","September","2154"
"2005","October","2254"
"2005","November","2233"
"2005","December","2485"
"2006","January","2667"
"2006","February","2432"
"2006","March","2739"
"2006","April","2505"
"2006","May","2337"
"2006","June","2155"
"2006","July","2308"
"2006","August","2132"
"2006","September","2191"
"2006","October","2168"
"2006","November","2283"
"2006","December","2571"
"2007","January","2652"
"2007","February","2545"
"2007","March","2578"
"2007","April","2399"
"2007","May","2177"
"2007","June","2207"
"2007","July","2228"
"2007","August","2205"
"2007","September","2079"
"2007","October","2266"
"2007","November","2197"
"2007","December","2584"
"2008","January","2690"
"2008","February","2320"
"2008","March","2664"
"2008","April","2469"
"2008","May","2352"
"2008","June","1971"
"2008","July","2321"
"2008","August","2197"
"2008","September","2116"
"2008","October","2202"
"2008","November","2280"
"2008","December","2692"
"2009","January","3274"
"2009","February","2350"
"2009","March","2383"
"2009","April","2252"
"2009","May","2284"
"2009","June","2158"
"2009","July","2133"
"2009","August","2139"
"2009","September","2104"
"2009","October","2347"
"2009","November","2342"
"2009","December","2614"
"2010","January","2931"
"2010","February","2293"
"2010","March","2385"
"2010","April","2240"
"2010","May","2306"
"2010","June","2220"
"2010","July","2044"
"2010","August","2070"
"2010","September","2138"
"2010","October","2341"
"2010","November","2280"
"2010","December","2713"
"2011","January","2830"
"2011","February","2300"
"2011","March","2580"
"2011","April","2351"
"2011","May","2362"
"2011","June","2194"
"2011","July","2269"
"2011","August","2151"
"2011","September","2265"
"2011","October","2314"
"2011","November","2196"
"2011","December","2644"
"2012","January","2694"
"2012","February","2515"
"2012","March","2631"
"2012","April","2374"
"2012","May","2424"
"2012","June","2224"
"2012","July","2220"
"2012","August","2269"
"2012","September","2173"
"2012","October","2475"
"2012","November","2406"
"2012","December","2781"
"2013","January","2871"
"2013","February","2506"
"2013","March","2831"
"2013","April","2631"
"2013","May","2445"
"2013","June","2185"
"2013","July","2360"
"2013","August","2148"
"2013","September","2264"
"2013","October","2351"
"2013","November","2332"
"2013","December","2580"
"2014","January","2828"
"2014","February","2696"
"2014","March","2656"
"2014","April","2446"
"2014","May","2310"
"2014","June","2206"
"2014","July","2323"
"2014","August","2280"
"2014","September","2147"
"2014","October","2385"
"2014","November","2376"
"2014","December","2599"
"2015","January","2967"
"2015","February","2756"
"2015","March","2875"
"2015","April","2478"
"2015","May","2539"
"2015","June","2241"
"2015","July","2160"
"2015","August","2286"
"2015","September","2333"
"2015","October","2527"
"2015","November","2314"
"2015","December","2651"
"2016","January","3110"
"2016","February","2688"
"2016","March","2846"
"2016","April","2533"
"2016","May","2489"
"2016","June","2266"
"2016","July","2301"
"2016","August","2182"
"2016","September","2333"
"2016","October","2397"
"2016","November","2512"
"2016","December","3010"
"2017","January","3425"
"2017","February","2532"
"2017","March","2604"
"2017","April","2414"
"2017","May","2376"
"2017","June","2230"
"2017","July","2217"
"2017","August","2305"
"2017","September","2319"
"2017","October","2556"
"2017","November","2481"
"2017","December","2959"
"2018","January","3488"
"2018","February","2850"
"2018","March","2994"
"2018","April","2596"
"2018","May","2385"
"2018","June","2291"
"2018","July","2334"
"2018","August","2244"
"2018","September","2295"
"2018","October","2483"
"2018","November","2527"
"2018","December","2653"
