"date","dose 1","dose 2","dose1_diff"
"07/01/2021",15314,0,15314
"13/01/2021",77303,0,61989
"17/01/2021",94000,0,16697
"20/01/2021",121900,0,27900
"27/01/2021",147700,13800,25800
"31/01/2021",150500,49300,2800
"04/02/2021",152200,67000,1700
"07/02/2021",153654,86833,1454
"08/02/2021",154900,88453,1246
"11/02/2021",171239,89834,16339
"16/02/2021",175238,89999,3999
"17/02/2021",180192,91750,4954
"18/02/2021",182193,98388,2001
"19/02/2021",187893,105859,5700
"20/02/2021",197609,113291,9716
"21/02/2021",205955,120520,8346
"22/02/2021",214384,126320,8429
"23/02/2021",219899,130423,5515
"24/02/2021",222073,131898,2174
"25/02/2021",226291,133325,4218
"26/02/2021",238841,134439,12550
"28/02/2021",271594,137935,32753
"01/03/2021",285780,140290,14186
